  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
Ba36   56  136  1.0744E+00  1.1553E+00  1.3627E+00  1.5854E+00  1.0000E+00  1.0000E+00  1.0230E+00  1.0763E+00  1.1021E+00
Ba37   56  137  9.9189E-01  1.0121E+00  1.0896E+00  1.2782E+00  1.0000E+00  1.0000E+00  9.9861E-01  1.0017E+00  1.0026E+00
Ba38   56  138  1.0123E+00  1.0470E+00  1.1793E+00  1.3834E+00  1.0000E+00  1.0000E+00  1.0010E+00  1.0044E+00  1.0060E+00
La38   57  138  9.8860E-01  9.8157E-01  9.7064E-01  9.1698E-01  9.9995E-01  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00
La39   57  139  1.0088E+00  1.0392E+00  1.1719E+00  1.4237E+00  9.9996E-01  1.0000E+00  1.0004E+00  1.0019E+00  1.0025E+00
Ce40   58  140  9.9068E-01  9.9446E-01  1.0550E+00  1.1854E+00  1.0000E+00  1.0000E+00  1.0003E+00  1.0011E+00  1.0015E+00
Pr41   59  141  9.7898E-01  9.6185E-01  9.9895E-01  1.1852E+00  9.9998E-01  9.9998E-01  9.9400E-01  9.8188E-01  9.7577E-01
Nd42   60  142  1.0579E+00  1.1256E+00  1.2493E+00  1.4583E+00  9.9999E-01  1.0000E+00  1.0061E+00  1.0185E+00  1.0249E+00
Nd43   60  143  9.3359E-01  9.0546E-01  8.7738E-01  9.3084E-01  1.0000E+00  9.9997E-01  9.8555E-01  9.6558E-01  9.5434E-01
Nd44   60  144  9.7804E-01  9.5939E-01  9.6070E-01  9.9898E-01  9.9999E-01  1.0000E+00  1.0020E+00  9.9837E-01  9.9731E-01
Hg02   80  202  9.9405E-01  9.9739E-01  1.0524E+00  1.1441E+00  9.9999E-01  1.0000E+00  1.0072E+00  1.0236E+00  1.0318E+00
Hg04   80  204  9.6408E-01  9.1762E-01  8.7190E-01  8.2682E-01  9.9998E-01  9.9998E-01  9.9506E-01  9.8123E-01  9.7448E-01
Tl03   81  203  9.8272E-01  9.9336E-01  1.0588E+00  1.2591E+00  9.9997E-01  1.0000E+00  9.9806E-01  9.9912E-01  9.9903E-01
Tl05   81  205  9.7419E-01  9.7054E-01  9.8855E-01  1.0200E+00  9.9999E-01  1.0000E+00  9.9785E-01  9.9479E-01  9.9258E-01
