isotope,a,z,yield,mass,metallicity,irv
C13,13,6,0.0014423,30.0,0.0134,0.0
N14,14,7,0.067792,30.0,0.0134,0.0
N15,15,7,1.2692e-05,30.0,0.0134,0.0
O16,16,8,0.073782,30.0,0.0134,0.0
O17,17,8,4.0707e-05,30.0,0.0134,0.0
O18,18,8,0.00014544,30.0,0.0134,0.0
F19,19,9,6.221e-06,30.0,0.0134,0.0
Ne20,20,10,0.022088,30.0,0.0134,0.0
Ne21,21,10,0.0001075,30.0,0.0134,0.0
Ne22,22,10,0.0011819,30.0,0.0134,0.0
Na23,23,11,0.0014343,30.0,0.0134,0.0
Mg24,24,12,0.010651,30.0,0.0134,0.0
Mg25,25,12,0.00098194,30.0,0.0134,0.0
Mg26,26,12,0.0019659,30.0,0.0134,0.0
Al27,27,13,0.0011614,30.0,0.0134,0.0
Si28,28,14,0.011793,30.0,0.0134,0.0
Si29,29,14,0.00062015,30.0,0.0134,0.0
Si30,30,14,0.00042294,30.0,0.0134,0.0
P31,31,15,0.00011244,30.0,0.0134,0.0
S32,32,16,0.0056509,30.0,0.0134,0.0
S33,33,16,4.6655e-05,30.0,0.0134,0.0
S34,34,16,0.00027133,30.0,0.0134,0.0
S36,36,16,1.3394e-06,30.0,0.0134,0.0
Cl35,35,17,0.00011836,30.0,0.0134,0.0
Cl37,37,17,3.999e-05,30.0,0.0134,0.0
Ar36,36,18,0.0010795,30.0,0.0134,0.0
Ar38,38,18,0.00020718,30.0,0.0134,0.0
Ar40,40,18,3.4879e-07,30.0,0.0134,0.0
K39,39,19,5.492e-05,30.0,0.0134,0.0
K40,40,19,8.8644e-08,30.0,0.0134,0.0
K41,41,19,4.1667e-06,30.0,0.0134,0.0
Ca40,40,20,0.0011971,30.0,0.0134,0.0
Ca42,42,20,8.3892e-06,30.0,0.0134,0.0
Ca43,43,20,1.7921e-06,30.0,0.0134,0.0
Ca44,44,20,2.8335e-05,30.0,0.0134,0.0
Ca46,46,20,5.6805e-08,30.0,0.0134,0.0
Ca48,48,20,2.771e-06,30.0,0.0134,0.0
Sc45,45,21,8.9698e-07,30.0,0.0134,0.0
Ti46,46,22,4.7728e-06,30.0,0.0134,0.0
