  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  V    23    0  1.3771E+01  4.1628E+01  1.8143E+01  8.9202E+00  6.0393E+00  5.9175E+00  5.5970E+00  4.6066E+00  3.6478E+00
  Cr   24    0  1.8440E+01  3.1179E+01  1.8245E+01  1.2883E+01  8.6380E+00  7.7859E+00  6.3738E+00  5.0376E+00  3.7261E+00
  Mn   25    0  1.8422E+01  6.0748E+01  1.7126E+01  9.3860E+00  6.5660E+00  5.8399E+00  5.0191E+00  4.1115E+00  3.2128E+00
  Fe   26    0  7.3162E+00  1.6693E+01  5.3832E+00  3.8372E+00  3.1291E+00  2.6017E+00  2.0860E+00  1.8161E+00  1.5559E+00
  Co   27    0  8.4302E+00  8.6116E+00  4.9857E+00  7.6997E+00  9.5049E+00  8.4203E+00  6.7944E+00  5.3380E+00  3.8604E+00
  Ni   28    0  5.7937E+00  2.5873E+01  4.5260E+00  3.4184E+00  3.5115E+00  3.3048E+00  2.8850E+00  2.4717E+00  2.0461E+00
  Cu   29    0  2.9461E+01  3.4828E+01  4.6623E+01  4.1898E+01  5.3286E+01  5.4947E+01  4.8436E+01  3.7825E+01  2.7675E+01
  Zn   30    0  1.4437E+01  2.2750E+01  3.2687E+01  2.3873E+01  2.8475E+01  2.9787E+01  2.6340E+01  2.0998E+01  1.5661E+01
  Ga   31    0  5.1527E+01  8.8474E+01  1.6339E+02  9.4257E+01  1.1979E+02  1.2188E+02  1.0235E+02  8.2415E+01  6.0746E+01
  Ge   32    0  3.3278E+01  6.1753E+01  9.1038E+01  5.3706E+01  7.2992E+01  8.2972E+01  6.9891E+01  5.5301E+01  3.8732E+01
  As   33    0  5.2417E+01  9.6814E+01  1.5668E+02  9.0773E+01  1.1776E+02  1.4070E+02  1.2441E+02  1.0246E+02  7.7711E+01
  Se   34    0  2.7951E+01  5.4069E+01  9.8001E+01  3.8541E+01  5.5687E+01  6.9539E+01  5.8485E+01  4.6507E+01  3.1809E+01
  Br   35    0  2.1529E+01  4.9077E+01  6.4135E+01  3.2587E+01  5.4796E+01  6.5692E+01  5.3088E+01  3.9463E+01  2.7969E+01
  Kr   36    0  1.8157E+01  5.4120E+01  7.6346E+01  2.3524E+01  3.2588E+01  4.0060E+01  3.4415E+01  2.7086E+01  2.0576E+01
  Rb   37    0  2.2622E+01  7.8146E+01  1.2291E+02  2.9089E+01  4.2250E+01  5.8158E+01  5.5760E+01  4.4037E+01  3.2993E+01
  Sr   38    0  2.2517E+01  9.2379E+01  1.1616E+02  2.6600E+01  3.2243E+01  3.7945E+01  2.9888E+01  2.5618E+01  2.0222E+01
  Y    39    0  1.5139E+01  6.7543E+01  8.3332E+01  1.4478E+01  1.8409E+01  2.2807E+01  1.7619E+01  1.5024E+01  1.0776E+01
  Zr   40    0  7.3652E+00  3.6869E+01  5.4996E+01  6.3023E+00  8.0253E+00  1.0080E+01  7.9549E+00  6.9241E+00  4.9977E+00
  Nb   41    0  4.5309E+00  2.4566E+01  2.0686E+01  3.8320E+00  5.4716E+00  6.3058E+00  4.8758E+00  4.0733E+00  3.1798E+00
  Mo   42    0  2.4228E+00  1.0022E+01  1.0682E+01  2.6679E+00  2.9587E+00  3.1631E+00  2.7589E+00  2.4606E+00  2.1221E+00
  Xe   54    0  1.4418E+00  5.2345E+00  4.4647E+00  1.4808E+00  1.5870E+00  1.6811E+00  1.6232E+00  1.5327E+00  1.3844E+00
  Cs   55    0  1.2928E+00  4.8328E+00  4.0414E+00  1.1973E+00  1.3605E+00  1.4870E+00  1.4752E+00  1.4026E+00  1.2845E+00
  Ba   56    0  1.9086E+00  5.6771E+00  5.0559E+00  1.9906E+00  2.3535E+00  2.4491E+00  2.0529E+00  1.8454E+00  1.6337E+00
  La   57    0  1.7457E+00  4.0977E+00  3.3108E+00  1.7518E+00  2.1001E+00  2.2345E+00  1.9882E+00  1.7784E+00  1.5278E+00
  Ce   58    0  1.3327E+00  2.3069E+00  2.0758E+00  1.3733E+00  1.5570E+00  1.6417E+00  1.5110E+00  1.3967E+00  1.3028E+00
  Pr   59    0  1.3824E+00  3.0313E+00  2.4796E+00  1.2668E+00  1.3862E+00  1.5916E+00  1.8749E+00  1.6885E+00  1.4541E+00
  Nd   60    0  1.1479E+00  1.5287E+00  1.6336E+00  1.4411E+00  1.4896E+00  1.4392E+00  1.3156E+00  1.2478E+00  1.2086E+00
  Hg   80    0  1.1144E+00  1.4432E+00  1.6329E+00  1.1653E+00  1.2834E+00  1.2755E+00  1.2226E+00  1.1795E+00  1.1496E+00
  Tl   81    0  1.0905E+00  1.2917E+00  1.2802E+00  1.1047E+00  1.2380E+00  1.2847E+00  1.2547E+00  1.1913E+00  1.1353E+00
  Pb   82    0  1.2055E+00  1.3534E+00  1.4067E+00  1.2753E+00  1.4205E+00  1.4319E+00  1.3605E+00  1.2741E+00  1.1990E+00
  Bi   83    0  9.1537E-01  9.1680E-01  8.8600E-01  9.1932E-01  9.4210E-01  9.4938E-01  9.6788E-01  9.7064E-01  9.8184E-01
  ele   Z    A    013b000     015b000     020b000     025b000     030b000     040b000     060b000     080b000     120b000
  H     1    0  7.2446E-01  6.9781E-01  6.3525E-01  6.0318E-01  5.5852E-01  5.0154E-01  4.5316E-01  4.2455E-01  3.7058E-01
  He    2    0  1.5939E+00  1.4253E+00  1.5117E+00  1.3755E+00  1.5857E+00  1.5533E+00  1.4972E+00  1.3651E+00  1.3208E+00
  Li    3    0  2.8298E-03  4.8980E-03  1.1059E-02  1.1261E-02  1.1936E-02  1.1488E-02  1.3781E-02  1.1701E-02  1.0972E-02
  Be    4    0  8.8134E-03  8.4010E-03  1.3657E-02  1.7094E-02  1.6276E-02  1.5185E-02  1.2698E-02  1.2320E-02  1.1626E-02
  B     5    0  1.5335E-01  1.4752E-01  1.3349E-01  1.2958E-01  1.2625E-01  1.1921E-01  1.0689E-01  1.0247E-01  9.3696E-02
  C     6    0  2.6445E+01  4.3971E+01  5.0087E+01  6.8803E+01  7.3542E+01  7.3815E+01  8.6111E+01  7.5217E+01  1.0412E+02
  N     7    0  9.6234E+00  8.7200E+00  8.5612E+00  8.0308E+00  1.1537E+01  1.2195E+01  1.2689E+01  1.0359E+01  1.3277E+01
  O     8    0  1.1937E+01  3.1567E+01  3.5748E+01  5.8693E+01  5.2231E+01  7.3112E+01  9.9784E+01  1.2654E+02  1.3487E+02
  F     9    0  6.6859E-01  6.3531E-01  6.9222E-01  2.2274E+00  1.9261E+00  2.6886E+00  2.9579E+01  9.7421E+00  2.2810E-01
